Sample	Polarity	Peak ID	Lipid name	RT (min)	Precursor m/z	Height	Area	Adduct	Formula	Ontology	InChIKey	Annotation tag	m/z matched	MS/MS matched	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N
VZ0000099_PL_Pos	POS	1294	ACar 10:1; [M]+	0.678	314.23251	2379750	9199430	[M]+	C17H32NO4	ACar	OQWOHRPOYAVIOK-MDZDMXLPNA-O	430	True	True	0.878	0.848	0.932	2.00	1.00	1.912	121.38
VZ0000099_PL_Pos	POS	1360	ACar 10:0; [M]+	0.689	316.24820	5306093	21881908	[M]+	C17H34NO4	ACar	LZOSYCMHQXPBFU-UHFFFAOYNA-O	430	True	True	0.877	0.838	0.934	2.00	1.00	1.911	353.81
VZ0000099_PL_Pos	POS	1449	ACar 12:1; [M]+	0.709	342.26382	3320510	13878897	[M]+	C19H36NO4	ACar	PETYOUXDCHQKTQ-ZHACJKMWNA-O	430	True	True	0.876	0.853	0.935	2.00	1.00	1.914	354.37
VZ0000099_PL_Pos	POS	1539	DAG 18:2; DAG 2:0-16:2; [M+NH4]+	0.720	386.29010	748218	3007092	[M+NH4]+	C21H36O5	DAG	NBCFIDCMAXEOEX-AFJQJTPPNA-N	430	True	True	0.131	0.843	0.245	1.00	0.20	0.942	222.98
VZ0000099_PL_Pos	POS	1588	ACar 13:1; [M]+	0.730	356.27954	849577	4449697	[M]+	C20H38NO4	ACar	UAPXOSVJNDUCJO-CMDGGOBGNA-O	430	True	True	0.374	0.298	0.937	2.00	1.00	1.688	179.81
VZ0000099_PL_Pos	POS	1591	ACar 14:2; [M]+	0.730	368.27942	1564802	6871435	[M]+	C21H38NO4	ACar	PVWHKAOMCLSWPF-BNFZFUHLNA-O	430	True	True	0.813	0.829	0.937	2.00	1.00	1.896	252.71
VZ0000099_PL_Pos	POS	1611	ACar 12:0; [M]+	0.745	344.27948	2718265	11398323	[M]+	C19H38NO4	ACar	FUJLYHJROOYKRA-UHFFFAOYNA-O	430	True	True	0.880	0.840	0.935	2.00	1.00	1.912	171.20
VZ0000099_PL_Pos	POS	1699	ACar 14:1; [M]+	0.776	370.29514	4176005	18834939	[M]+	C21H40NO4	ACar	ABVVZYXTZLEOHP-CMDGGOBGNA-O	430	True	True	0.850	0.839	0.936	2.00	1.00	1.906	266.70
VZ0000099_PL_Pos	POS	1781	LPC 20:5/0:0	0.827	542.32416	5207521	20549976	[M+H]+	C28H48NO7P	LPC	PDIGSOAOQOXRDU-WMPRHZDHNA-N	410	True	True	0.756	0.878	0.952	4.00	2.00	2.544	334.18
VZ0000099_PL_Pos	POS	1849	LPC 14:0/0:0	0.878	468.30817	11634333	51078738	[M+H]+	C22H46NO7P	LPC	VXUOFDJKYGDUJI-UHFFFAOYNA-N	410	True	True	0.773	0.871	0.950	4.00	2.00	2.543	449.53
VZ0000099_PL_Pos	POS	1863	ACar 16:1; [M]+	0.890	398.32648	1509998	6916643	[M]+	C23H44NO4	ACar	NRCCZFJHTDUMBS-SEYXRHQNNA-O	430	True	True	0.889	0.883	0.936	2.00	1.00	1.924	123.34
VZ0000099_PL_Pos	POS	1881	LPC 22:6/0:0	0.901	568.33990	16121753	68573771	[M+H]+	C30H50NO7P	LPC	LSOWKZULVQWMLY-WSDBEMKQNA-N	410	True	True	0.764	0.880	0.954	5.00	2.00	2.546	5135.04
VZ0000099_PL_Pos	POS	1890	LPC 16:1/0:0	0.911	494.32407	44598749	197332048	[M+H]+	C24H48NO7P	LPC	LFUDDCMNKWEORN-KHPPLWFENA-N	410	True	True	0.600	0.789	0.713	3.00	2.00	2.388	7630.61
VZ0000099_PL_Pos	POS	1901	ACar 18:2; [M]+	0.921	424.34219	2247092	9767002	[M]+	C25H46NO4	ACar	HQMPRWWWVKTZAS-HULFFUFUNA-O	430	True	True	0.871	0.903	0.938	2.00	1.00	1.925	366.46
VZ0000099_PL_Pos	POS	1965	LPC 18:2/0:0	0.964	520.33948	528308879	2526091869	[M+H]+	C26H50NO7P	LPC	SPJFYYJXNPEZDW-UTJQPWESNA-N	410	True	True	0.615	0.805	0.713	3.00	2.00	2.394	21945.29
VZ0000099_PL_Pos	POS	2007	LPC 15:0/0:0	0.986	482.32401	7706350	37471242	[M+H]+	C23H48NO7P	LPC	RJZVWDTYEWCUAR-UHFFFAOYNA-N	410	True	True	0.748	0.854	0.952	4.00	2.00	2.536	788.48
VZ0000099_PL_Pos	POS	2014	PE O-20:2	1.010	478.29276	2546884	11793487	[M+H]+	C23H44NO7P	EtherPE	NHWGRQYWBDGEOR-AFJQJTPPNA-N	420	True	True	0.485	0.805	0.757	2.00	1.00	1.743	409.81
VZ0000099_PL_Pos	POS	2025	LPC 17:1/0:0	1.037	508.33984	2015353	10124237	[M+H]+	C25H50NO7P	LPC	LPMGFNAQZPADDZ-QXMHVHEDNA-N	410	True	True	0.755	0.871	0.951	4.00	2.00	2.541	247.94
VZ0000099_PL_Pos	POS	2035	LPC 20:3/0:0	1.047	546.35541	19442840	101070350	[M+H]+	C28H52NO7P	LPC	XUDGAAFUMTTZCO-QNEBEIHSNA-N	410	True	True	0.768	0.878	0.957	5.00	2.00	2.548	4020.33
VZ0000099_PL_Pos	POS	2052	ACar 16:0; [M]+	1.066	400.34201	3440072	15693992	[M]+	C23H46NO4	ACar	XOMRRQXKHMYMOC-UHFFFAOYNA-O	430	True	True	0.900	0.863	0.937	2.00	1.00	1.922	63.15
VZ0000099_PL_Pos	POS	2066	ACar 18:1; [M]+	1.123	426.35773	4736439	23686482	[M]+	C25H48NO4	ACar	HOAMADDCQBUDDY-KHPPLWFENA-O	430	True	True	0.902	0.902	0.938	2.00	1.00	1.931	641.53
VZ0000099_PL_Pos	POS	2076	LPC 16:0/0:0	1.132	496.33960	845349241	4168713445	[M+H]+	C24H50NO7P	LPC	ASWBNKHCZGQVJV-UHFFFAOYNA-N	410	True	True	0.603	0.803	0.723	3.00	2.00	2.396	42691.46
VZ0000099_PL_Pos	POS	2194	LPC 18:1/0:0	1.197	522.35529	239319283	1232920007	[M+H]+	C26H52NO7P	LPC	YAMUFBLWGFFICM-SEYXRHQNNA-N	410	True	True	0.616	0.816	0.718	3.00	2.00	2.399	17992.08
VZ0000099_PL_Pos	POS	2214	PE O-18:0	1.209	454.29279	1347417	6257440	[M+H]+	C21H44NO7P	EtherPE	CIBZKQFKWPMFNT-UHFFFAOYNA-N	420	True	True	0.551	0.859	0.752	2.00	1.00	1.766	362.98
VZ0000099_PL_Pos	POS	2262	LPC 20:2/0:0	1.274	548.37115	1700708	9138711	[M+H]+	C28H54NO7P	LPC	YYQVCMMXPIJVHY-UTJQPWESNA-N	410	True	True	0.734	0.835	0.956	5.00	2.00	2.531	449.82
VZ0000099_PL_Pos	POS	2298	LPC 17:0/0:0	1.336	510.35544	5937978	50977369	[M+H]+	C25H52NO7P	LPC	SRRQPVVYXBTRQK-UHFFFAOYNA-N	410	True	True	0.761	0.873	0.951	4.00	2.00	2.543	1117.84
VZ0000099_PL_Pos	POS	2338	LPC 18:0	1.494	524.37103	10404256	43939990	[M+H]+	C26H54NO7P	LPC	IHNKQIMGVNPMTC-UHFFFAOYNA-N	410	True	True	0.774	0.881	0.661	3.00	2.00	2.423	710.53
VZ0000099_PL_Pos	POS	2350	ACar 18:0; [M]+	1.517	428.37341	830952	4340432	[M]+	C25H50NO4	ACar	FNPHNLNTJNMAEE-UHFFFAOYNA-O	430	True	True	0.919	0.895	0.938	2.00	1.00	1.933	56.52
VZ0000099_PL_Pos	POS	2390	LPC 18:0/0:0	1.631	524.37073	142295844	753971665	[M+H]+	C26H54NO7P	LPC	IHNKQIMGVNPMTC-UHFFFAOYNA-N	410	True	True	0.765	0.870	0.957	5.00	2.00	2.545	9766.50
